employee_id,salary_effective_date,salary_amount_million
1074,2022-02-23 10:26:30,32
1074,2023-02-23 10:26:30,35
1074,2024-02-23 10:26:30,36
1075,2024-11-21 16:48:21,10
1076,2022-02-17 02:21:38,23
1076,2023-02-17 02:21:38,25
1077,2023-10-28 18:14:48,23
1077,2024-10-28 18:14:48,24
1078,2024-02-02 09:02:49,10
1078,2025-02-02 09:02:49,14
1079,2024-12-21 11:24:44,23
1080,2023-08-07 00:23:49,24
1081,2023-11-09 10:53:45,19
1081,2024-11-09 10:53:45,21
1082,2024-02-25 04:13:09,10
1083,2020-01-13 11:53:20,15
1083,2021-01-13 11:53:20,16
1084,2021-05-17 02:26:13,27
1084,2024-05-17 02:26:13,31
1085,2020-04-12 10:17:31,9
1085,2024-04-12 10:17:31,12
1086,2021-12-04 11:05:08,21
1086,2022-12-04 11:05:08,25
1086,2023-12-04 11:05:08,27
1086,2024-12-04 11:05:08,30
1087,2023-01-10 17:14:08,13
1088,2022-02-02 23:55:51,5
1088,2023-02-02 23:55:51,7
1088,2025-02-02 23:55:51,10
1089,2022-09-20 21:14:28,13
1089,2023-09-20 21:14:28,17
1090,2022-12-06 21:42:19,9
1090,2024-12-06 21:42:19,11
1091,2023-11-08 20:17:47,8
1092,2023-10-11 13:13:15,14
1093,2022-09-09 12:45:26,12
1093,2024-09-09 12:45:26,16
1094,2023-02-09 18:04:51,10
1095,2024-01-07 14:24:05,5
1096,2020-12-08 00:12:15,5
1097,2024-04-07 15:32:03,11
1098,2024-12-12 03:54:05,10
1099,2021-08-20 03:07:14,7
1099,2022-08-20 03:07:14,11
1099,2023-08-20 03:07:14,15
1099,2024-08-20 03:07:14,16
1100,2021-09-09 21:27:18,34
1100,2022-09-09 21:27:18,38
1100,2023-09-09 21:27:18,39
1101,2021-10-25 18:51:19,27
1101,2024-10-25 18:51:19,28
1102,2021-01-20 00:38:39,31
1102,2022-01-20 00:38:39,33
1102,2023-01-20 00:38:39,36
1103,2024-05-11 13:28:17,24
1104,2022-03-21 07:04:27,33
1105,2023-09-08 21:43:05,17
1105,2024-09-08 21:43:05,20
1106,2021-06-03 19:03:57,8
1107,2023-03-30 03:26:47,14
1108,2022-11-01 13:50:54,27
1108,2024-11-01 13:50:54,31
1109,2020-03-14 03:28:27,30
1109,2023-03-14 03:28:27,33
1109,2024-03-14 03:28:27,36
1109,2025-03-14 03:28:27,40
1110,2022-03-04 04:42:30,20
1110,2023-03-04 04:42:30,24
1110,2025-03-04 04:42:30,25
1111,2020-02-12 18:39:21,32
1111,2025-02-12 18:39:21,35
1112,2023-06-14 04:36:52,27
1113,2023-06-04 03:13:56,30
1113,2024-06-04 03:13:56,32
1113,2025-06-04 03:13:56,33
1114,2022-07-02 07:48:13,26
1115,2023-03-13 04:52:38,13
1115,2024-03-13 04:52:38,15
1115,2025-03-13 04:52:38,16
1116,2021-02-25 06:07:04,30
1116,2025-02-25 06:07:04,32
1117,2020-02-19 16:55:39,11
1117,2022-02-19 16:55:39,12
1117,2025-02-19 16:55:39,14
1118,2024-08-14 19:26:44,28
1119,2024-04-11 17:50:56,24
1120,2020-08-29 04:56:14,28
1120,2022-08-29 04:56:14,31
1120,2023-08-29 04:56:14,35
1121,2020-01-13 01:47:13,21
1121,2021-01-13 01:47:13,22
1121,2023-01-13 01:47:13,25
1121,2024-01-13 01:47:13,26
1122,2024-04-08 13:47:33,17
1123,2023-09-08 22:41:51,23
1124,2024-10-15 16:05:59,23
1125,2024-01-28 00:31:48,34
1126,2021-10-21 16:25:36,33
1126,2022-10-21 16:25:36,34
1127,2022-05-13 05:35:11,22
1127,2024-05-13 05:35:11,24
1128,2022-04-09 23:24:44,6
1129,2024-05-15 06:18:39,23
1130,2020-06-24 20:03:37,8
1130,2022-06-24 20:03:37,11
1130,2023-06-24 20:03:37,13
1131,2024-07-30 13:46:26,18
1132,2021-01-25 00:46:28,6
1133,2021-12-16 12:06:16,22
1133,2022-12-16 12:06:16,26
1134,2023-12-31 11:18:52,28
1135,2023-12-27 11:09:15,33
1136,2024-04-22 16:15:42,29
1136,2025-04-22 16:15:42,32
1137,2022-03-14 05:04:51,23
1137,2023-03-14 05:04:51,26
1137,2024-03-14 05:04:51,29
1138,2024-12-28 01:35:07,18
1139,2022-05-03 01:59:43,28
1139,2023-05-03 01:59:43,32
1139,2025-05-03 01:59:43,33
1140,2024-10-22 11:17:45,18
1141,2021-10-26 08:22:49,27
1141,2022-10-26 08:22:49,30
1141,2023-10-26 08:22:49,31
1142,2024-11-23 03:59:34,23
1143,2024-08-07 10:07:31,20
1144,2023-09-12 19:37:33,33
1144,2024-09-12 19:37:33,34
1145,2023-05-16 12:09:08,32
1145,2024-05-16 12:09:08,33
1146,2023-03-14 10:14:46,19
1146,2024-03-14 10:14:46,22
1147,2021-08-01 21:53:57,6
1147,2024-08-01 21:53:57,7
1148,2021-05-16 18:11:16,10
1148,2022-05-16 18:11:16,11
1149,2021-08-03 15:14:43,24
1149,2022-08-03 15:14:43,28
1149,2024-08-03 15:14:43,32
1150,2021-06-25 12:36:03,31
1150,2022-06-25 12:36:03,35
